تاريخ الزيارة,تاريخ المتابعة,المنطقة + الطابق,اسم العيادة,رقم الزيارة,اسم الشخص,المسمى الوظيفي,رقم الموبايل,مستوى الاهتمام,نوع الزيارة,نتيجة الزيارة,حالة التنفيذ,تواريخ كل الزيارات,ملاحظات ,ملاحظات المتابعة
20/04/2026,23/04/2026,Shaab - F. 6,Cure Clinic ,1,—,—,—,متوسط,متابعة,موعد,متابعة,• 20/04/2026,• 20/04/2026: suzi doctor appointment wp,زيارة ميدانية
20/04/2026,23/04/2026,Mazaya Bneid Al-Gar,Medical Care,2,—,—,—,متوسط,عرض منتج,مهتم,متابعة,"• 19/08/2025
• 20/04/2026","• 19/08/2025: زيارة أولى
• 20/04/2026: احبوها كثيرا يجب اتي موعد اخر",زيارة ميدانية
20/04/2026,23/04/2026,Mazaya Bneid Al-Gar,Pristine,1,—,—,—,متوسط,عرض منتج,متابعة,متابعة,• 20/04/2026,• 20/04/2026: العيادة جديدة احبوها زيارة مرة اخرى,زيارة ميدانية
20/04/2026,23/04/2026,Mazaya Bneid Al-Gar,Dr. Khouloud,1,—,—,—,متوسط,عرض منتج,موعد,متابعة,• 20/04/2026,• 20/04/2026: appointment 9 or 3,زيارة ميدانية
03/04/2026,23/04/2026,Hawally - F. 14,Vogue Clinic 14-Hawally,2,—,—,—,منخفض,عرض منتج,مغلق,مغلق,"• 20/01/2026
• 03/04/2026","• 20/01/2026: الادارة احبو المنتج ويريدون منه اخدو عينات للتجربة
• 03/04/2026: ramadan-بالصيانة",زيارة ميدانية
12/04/2026,23/04/2026,Hawally,My Skin - Fahad Al-Mutawaa,1,—,—,—,منخفض,متابعة,متابعة,متابعة,• 12/04/2026,• 12/04/2026: مرة اخرى مشغول,زيارة ميدانية
09/07/2025,23/04/2026,Hawally,Jarallah Al-Almani,1,—,—,1844445,منخفض,عرض منتج,متابعة,متابعة,• 07/09/2025,"• 07/09/2025: kandella, cynasure",اتصال متابعة
10/01/2025,,Hawally,Jarallah Al-Almani,2,—,—,50311393,عالي,بيع,تم,تم,• 01/10/2025,• 01/10/2025: 1 box candella size 20 - تم البيع,تم البيع
20/01/2026,23/04/2026,Hawally,I Care,2,—,—,976010393,منخفض,متابعة,متابعة,متابعة,"• 12/11/2025
• 20/01/2026","• 12/11/2025: call dr marina
• 20/01/2026: الادارة احبو المنتج ويريدون منه - الاردنية يجب المتابعة",زيارة ميدانية
11/12/2025,23/04/2026,Hawally,Labeuty,1,—,—,—,منخفض,عرض منتج,متابعة,متابعة,• 12/11/2025,• 12/11/2025: broshure clarity,زيارة ميدانية
12/02/2026,23/04/2026,Hawally,Wejdan,1,—,—,—,منخفض,متابعة,متابعة,متابعة,• 12/02/2026,• 12/02/2026: لح يتصلو فيني ومهمة اكيد لح يتصلو,زيارة ميدانية
15/03/2026,23/04/2026,Shaab - F. 5,Nova ,1,—,—,—,منخفض,عرض منتج,متابعة,متابعة,• 15/03/2026,• 15/03/2026: البنانية اخدت قبل - ramadan,زيارة ميدانية
15/03/2026,23/04/2026,Shaab - F. 2,Nova ,1,—,—,—,منخفض,عرض منتج,متابعة,متابعة,• 15/03/2026,• 15/03/2026: مش مهتمة اجي بعد العيد - ramadan,زيارة ميدانية
15/03/2026,23/04/2026,Shaab - F. 10,Nova ,1,—,—,—,منخفض,عرض منتج,متابعة,متابعة,• 15/03/2026,• 15/03/2026: زيارة بعد العيد - ramadan,زيارة ميدانية
15/03/2026,23/04/2026,Shaab - F. 1,Nova ,1,—,—,—,منخفض,عرض منتج,متابعة,متابعة,• 15/03/2026,• 15/03/2026: هبة كلاريتي - ramadan,زيارة ميدانية
15/03/2026,23/04/2026,Hawally,Saleh Jurawiy,1,—,—,96116099,منخفض,عرض منتج,متابعة,متابعة,• 19/08/2025,,اتصال متابعة
18/02/2026,23/04/2026,Shaab - F. 15,Cure Clinic ,1,—,—,—,منخفض,عرض منتج,متابعة,متابعة,• 18/02/2026,• 18/02/2026: بعد المغرب من 9 لل 12 - ramadan,زيارة ميدانية
18/02/2026,23/04/2026,Hawally,Sahar Clinic,2,—,—,—,منخفض,عرض منتج,مغلق,مغلق,• 18/02/2026,• 18/02/2026: كتير مهتمة ولازم عيد عليها واتصال بها كانت مسكرة,زيارة ميدانية
18/08/2025,23/04/2026,Hawally,Prime,1,—,—,96677073,منخفض,عرض منتج,متابعة,متابعة,• 18/08/2025,• 18/08/2025: Candela,اتصال متابعة
19/08/2025,23/04/2026,Hawally,Global,1,—,—,1871111,منخفض,عرض منتج,متابعة,متابعة,• 19/08/2025,• 19/08/2025: Visit again,اتصال متابعة
19/08/2025,23/04/2026,Hawally,Alhayat Medical,1,—,—,22212888,منخفض,عرض منتج,متابعة,متابعة,• 19/08/2025,• 19/08/2025: After 2 pm,اتصال متابعة
19/08/2025,23/04/2026,Hawally,Germania Clinic,1,—,—,50489890,منخفض,عرض منتج,متابعة,متابعة,• 19/08/2025,• 19/08/2025: Cadela & Cynosure,اتصال متابعة
19/08/2025,23/04/2026,Hawally,Haydra Clinic,1,—,—,22275140,منخفض,عرض منتج,متابعة,متابعة,• 19/08/2025,• 19/08/2025: Cynosure Candela,اتصال متابعة
19/08/2025,23/04/2026,Hawally,Laboute,1,—,—,1888855,منخفض,عرض منتج,متابعة,متابعة,• 19/08/2025,,اتصال متابعة
28/08/2025,23/04/2026,Hawally,Blau Clinic,2,—,—,—,منخفض,عرض منتج,متابعة,متابعة,"• 19/08/2025
• 28/08/2025","• 19/08/2025: Dr Back on sep. / qty to be finished
• 28/08/2025: kandella.cynossure",زيارة ميدانية
19/08/2025,23/04/2026,Hawally,Bella,1,—,—,22666446,منخفض,عرض منتج,متابعة,متابعة,• 19/08/2025,,اتصال متابعة
20/04/2026,23/04/2026,Mazaya Bneid Al-Gar,Lumora,1,—,—,—,منخفض,عرض منتج,متابعة,متابعة,• 20/04/2026,• 20/04/2026: BROSHURE masriye al ha tetwsal,زيارة ميدانية
20/04/2026,23/04/2026,Mazaya Bneid Al-Gar,Yarrow,1,—,—,—,منخفض,عرض منتج,مغلق,مغلق,• 20/04/2026,• 20/04/2026: close,زيارة ميدانية
28/08/2025,23/04/2026,Hawally,Derma Ker,1,—,—,1830003,منخفض,عرض منتج,متابعة,متابعة,• 28/08/2025,• 28/08/2025: Thursday 5pm,اتصال متابعة
